Category	GeneNumber	Description
J	176	Translation, ribosomal structure and biogenesis
A	1	RNA processing and modification
K	63	Transcription
L	92	Replication, recombination and repair
B	0	Chromatin structure and dynamics
D	33	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	28	Defense mechanisms
T	94	Signal transduction mechanisms
M	147	Cell wall/membrane/envelope biogenesis
N	54	Cell motility
Z	2	Cytoskeleton
W	43	Extracellular structures
U	49	Intracellular trafficking, secretion, and vesicular transport
O	135	Posttranslational modification, protein turnover, chaperones
X	4	Mobilome: prophages, transposons
C	138	Energy production and conversion
G	46	Carbohydrate transport and metabolism
E	133	Amino acid transport and metabolism
F	54	Nucleotide transport and metabolism
H	123	Coenzyme transport and metabolism
I	79	Lipid transport and metabolism
P	90	Inorganic ion transport and metabolism
Q	33	Secondary metabolites biosynthesis, transport and catabolism
R	143	General function prediction only
S	112	Function unknown
