Category	GeneNumber	Description
J	183	Translation, ribosomal structure and biogenesis
A	0	RNA processing and modification
K	150	Transcription
L	106	Replication, recombination and repair
B	2	Chromatin structure and dynamics
D	45	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	73	Defense mechanisms
T	133	Signal transduction mechanisms
M	186	Cell wall/membrane/envelope biogenesis
N	92	Cell motility
Z	1	Cytoskeleton
W	34	Extracellular structures
U	70	Intracellular trafficking, secretion, and vesicular transport
O	139	Posttranslational modification, protein turnover, chaperones
X	34	Mobilome: prophages, transposons
C	141	Energy production and conversion
G	111	Carbohydrate transport and metabolism
E	159	Amino acid transport and metabolism
F	58	Nucleotide transport and metabolism
H	119	Coenzyme transport and metabolism
I	168	Lipid transport and metabolism
P	95	Inorganic ion transport and metabolism
Q	141	Secondary metabolites biosynthesis, transport and catabolism
R	250	General function prediction only
S	172	Function unknown
