Category	GeneNumber	Description
J	225	Translation, ribosomal structure and biogenesis
A	1	RNA processing and modification
K	145	Transcription
L	112	Replication, recombination and repair
B	3	Chromatin structure and dynamics
D	31	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	69	Defense mechanisms
T	177	Signal transduction mechanisms
M	184	Cell wall/membrane/envelope biogenesis
N	60	Cell motility
Z	0	Cytoskeleton
W	49	Extracellular structures
U	60	Intracellular trafficking, secretion, and vesicular transport
O	184	Posttranslational modification, protein turnover, chaperones
X	19	Mobilome: prophages, transposons
C	219	Energy production and conversion
G	171	Carbohydrate transport and metabolism
E	388	Amino acid transport and metabolism
F	81	Nucleotide transport and metabolism
H	163	Coenzyme transport and metabolism
I	177	Lipid transport and metabolism
P	156	Inorganic ion transport and metabolism
Q	146	Secondary metabolites biosynthesis, transport and catabolism
R	360	General function prediction only
S	169	Function unknown
