Category	GeneNumber	Description
J	144	Translation, ribosomal structure and biogenesis
A	0	RNA processing and modification
K	72	Transcription
L	56	Replication, recombination and repair
B	1	Chromatin structure and dynamics
D	9	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	38	Defense mechanisms
T	63	Signal transduction mechanisms
M	92	Cell wall/membrane/envelope biogenesis
N	6	Cell motility
Z	0	Cytoskeleton
W	2	Extracellular structures
U	23	Intracellular trafficking, secretion, and vesicular transport
O	117	Posttranslational modification, protein turnover, chaperones
X	5	Mobilome: prophages, transposons
C	105	Energy production and conversion
G	72	Carbohydrate transport and metabolism
E	118	Amino acid transport and metabolism
F	44	Nucleotide transport and metabolism
H	92	Coenzyme transport and metabolism
I	118	Lipid transport and metabolism
P	64	Inorganic ion transport and metabolism
Q	65	Secondary metabolites biosynthesis, transport and catabolism
R	170	General function prediction only
S	94	Function unknown
