Category	GeneNumber	Description
J	154	Translation, ribosomal structure and biogenesis
A	0	RNA processing and modification
K	120	Transcription
L	93	Replication, recombination and repair
B	1	Chromatin structure and dynamics
D	27	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	56	Defense mechanisms
T	149	Signal transduction mechanisms
M	200	Cell wall/membrane/envelope biogenesis
N	70	Cell motility
Z	0	Cytoskeleton
W	53	Extracellular structures
U	93	Intracellular trafficking, secretion, and vesicular transport
O	161	Posttranslational modification, protein turnover, chaperones
X	10	Mobilome: prophages, transposons
C	100	Energy production and conversion
G	134	Carbohydrate transport and metabolism
E	165	Amino acid transport and metabolism
F	56	Nucleotide transport and metabolism
H	127	Coenzyme transport and metabolism
I	104	Lipid transport and metabolism
P	115	Inorganic ion transport and metabolism
Q	53	Secondary metabolites biosynthesis, transport and catabolism
R	287	General function prediction only
S	114	Function unknown
