Category	GeneNumber	Description
J	93	Translation, ribosomal structure and biogenesis
A	0	RNA processing and modification
K	60	Transcription
L	44	Replication, recombination and repair
B	2	Chromatin structure and dynamics
D	27	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	23	Defense mechanisms
T	53	Signal transduction mechanisms
M	88	Cell wall/membrane/envelope biogenesis
N	18	Cell motility
Z	0	Cytoskeleton
W	5	Extracellular structures
U	12	Intracellular trafficking, secretion, and vesicular transport
O	72	Posttranslational modification, protein turnover, chaperones
X	4	Mobilome: prophages, transposons
C	63	Energy production and conversion
G	62	Carbohydrate transport and metabolism
E	92	Amino acid transport and metabolism
F	33	Nucleotide transport and metabolism
H	77	Coenzyme transport and metabolism
I	85	Lipid transport and metabolism
P	52	Inorganic ion transport and metabolism
Q	63	Secondary metabolites biosynthesis, transport and catabolism
R	103	General function prediction only
S	90	Function unknown
