Category	GeneNumber	Description
J	157	Translation, ribosomal structure and biogenesis
A	0	RNA processing and modification
K	78	Transcription
L	71	Replication, recombination and repair
B	0	Chromatin structure and dynamics
D	20	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	26	Defense mechanisms
T	58	Signal transduction mechanisms
M	107	Cell wall/membrane/envelope biogenesis
N	23	Cell motility
Z	2	Cytoskeleton
W	10	Extracellular structures
U	30	Intracellular trafficking, secretion, and vesicular transport
O	97	Posttranslational modification, protein turnover, chaperones
X	2	Mobilome: prophages, transposons
C	83	Energy production and conversion
G	90	Carbohydrate transport and metabolism
E	118	Amino acid transport and metabolism
F	36	Nucleotide transport and metabolism
H	101	Coenzyme transport and metabolism
I	63	Lipid transport and metabolism
P	84	Inorganic ion transport and metabolism
Q	20	Secondary metabolites biosynthesis, transport and catabolism
R	127	General function prediction only
S	88	Function unknown
