Category	GeneNumber	Description
J	182	Translation, ribosomal structure and biogenesis
A	1	RNA processing and modification
K	91	Transcription
L	88	Replication, recombination and repair
B	0	Chromatin structure and dynamics
D	28	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	27	Defense mechanisms
T	93	Signal transduction mechanisms
M	161	Cell wall/membrane/envelope biogenesis
N	41	Cell motility
Z	1	Cytoskeleton
W	23	Extracellular structures
U	30	Intracellular trafficking, secretion, and vesicular transport
O	124	Posttranslational modification, protein turnover, chaperones
X	4	Mobilome: prophages, transposons
C	126	Energy production and conversion
G	84	Carbohydrate transport and metabolism
E	144	Amino acid transport and metabolism
F	46	Nucleotide transport and metabolism
H	120	Coenzyme transport and metabolism
I	82	Lipid transport and metabolism
P	81	Inorganic ion transport and metabolism
Q	47	Secondary metabolites biosynthesis, transport and catabolism
R	137	General function prediction only
S	96	Function unknown
