Category	GeneNumber	Description
J	154	Translation, ribosomal structure and biogenesis
A	0	RNA processing and modification
K	112	Transcription
L	75	Replication, recombination and repair
B	0	Chromatin structure and dynamics
D	30	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	45	Defense mechanisms
T	101	Signal transduction mechanisms
M	146	Cell wall/membrane/envelope biogenesis
N	19	Cell motility
Z	0	Cytoskeleton
W	27	Extracellular structures
U	62	Intracellular trafficking, secretion, and vesicular transport
O	123	Posttranslational modification, protein turnover, chaperones
X	7	Mobilome: prophages, transposons
C	122	Energy production and conversion
G	88	Carbohydrate transport and metabolism
E	137	Amino acid transport and metabolism
F	47	Nucleotide transport and metabolism
H	113	Coenzyme transport and metabolism
I	158	Lipid transport and metabolism
P	100	Inorganic ion transport and metabolism
Q	89	Secondary metabolites biosynthesis, transport and catabolism
R	180	General function prediction only
S	141	Function unknown
