Category	GeneNumber	Description
J	123	Translation, ribosomal structure and biogenesis
A	0	RNA processing and modification
K	74	Transcription
L	57	Replication, recombination and repair
B	0	Chromatin structure and dynamics
D	16	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	43	Defense mechanisms
T	122	Signal transduction mechanisms
M	144	Cell wall/membrane/envelope biogenesis
N	69	Cell motility
Z	0	Cytoskeleton
W	49	Extracellular structures
U	71	Intracellular trafficking, secretion, and vesicular transport
O	136	Posttranslational modification, protein turnover, chaperones
X	2	Mobilome: prophages, transposons
C	67	Energy production and conversion
G	91	Carbohydrate transport and metabolism
E	111	Amino acid transport and metabolism
F	43	Nucleotide transport and metabolism
H	95	Coenzyme transport and metabolism
I	74	Lipid transport and metabolism
P	75	Inorganic ion transport and metabolism
Q	38	Secondary metabolites biosynthesis, transport and catabolism
R	206	General function prediction only
S	96	Function unknown
