Category	GeneNumber	Description
J	187	Translation, ribosomal structure and biogenesis
A	0	RNA processing and modification
K	166	Transcription
L	91	Replication, recombination and repair
B	2	Chromatin structure and dynamics
D	34	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	81	Defense mechanisms
T	218	Signal transduction mechanisms
M	199	Cell wall/membrane/envelope biogenesis
N	102	Cell motility
Z	6	Cytoskeleton
W	35	Extracellular structures
U	51	Intracellular trafficking, secretion, and vesicular transport
O	192	Posttranslational modification, protein turnover, chaperones
X	9	Mobilome: prophages, transposons
C	206	Energy production and conversion
G	123	Carbohydrate transport and metabolism
E	177	Amino acid transport and metabolism
F	68	Nucleotide transport and metabolism
H	203	Coenzyme transport and metabolism
I	409	Lipid transport and metabolism
P	157	Inorganic ion transport and metabolism
Q	290	Secondary metabolites biosynthesis, transport and catabolism
R	521	General function prediction only
S	146	Function unknown
