Category	GeneNumber	Description
J	121	Translation, ribosomal structure and biogenesis
A	0	RNA processing and modification
K	41	Transcription
L	51	Replication, recombination and repair
B	0	Chromatin structure and dynamics
D	18	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	15	Defense mechanisms
T	66	Signal transduction mechanisms
M	83	Cell wall/membrane/envelope biogenesis
N	49	Cell motility
Z	1	Cytoskeleton
W	19	Extracellular structures
U	49	Intracellular trafficking, secretion, and vesicular transport
O	67	Posttranslational modification, protein turnover, chaperones
X	8	Mobilome: prophages, transposons
C	62	Energy production and conversion
G	31	Carbohydrate transport and metabolism
E	80	Amino acid transport and metabolism
F	31	Nucleotide transport and metabolism
H	63	Coenzyme transport and metabolism
I	35	Lipid transport and metabolism
P	37	Inorganic ion transport and metabolism
Q	18	Secondary metabolites biosynthesis, transport and catabolism
R	68	General function prediction only
S	71	Function unknown
