Category	GeneNumber	Description
J	180	Translation, ribosomal structure and biogenesis
A	0	RNA processing and modification
K	117	Transcription
L	88	Replication, recombination and repair
B	0	Chromatin structure and dynamics
D	29	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	45	Defense mechanisms
T	96	Signal transduction mechanisms
M	146	Cell wall/membrane/envelope biogenesis
N	19	Cell motility
Z	0	Cytoskeleton
W	23	Extracellular structures
U	54	Intracellular trafficking, secretion, and vesicular transport
O	132	Posttranslational modification, protein turnover, chaperones
X	11	Mobilome: prophages, transposons
C	154	Energy production and conversion
G	86	Carbohydrate transport and metabolism
E	198	Amino acid transport and metabolism
F	54	Nucleotide transport and metabolism
H	136	Coenzyme transport and metabolism
I	198	Lipid transport and metabolism
P	99	Inorganic ion transport and metabolism
Q	104	Secondary metabolites biosynthesis, transport and catabolism
R	216	General function prediction only
S	148	Function unknown
