Category	GeneNumber	Description
J	124	Translation, ribosomal structure and biogenesis
A	0	RNA processing and modification
K	68	Transcription
L	76	Replication, recombination and repair
B	2	Chromatin structure and dynamics
D	19	Cell cycle control, cell division, chromosome partitioning
Y	0	Nuclear structure
V	16	Defense mechanisms
T	90	Signal transduction mechanisms
M	113	Cell wall/membrane/envelope biogenesis
N	34	Cell motility
Z	0	Cytoskeleton
W	8	Extracellular structures
U	24	Intracellular trafficking, secretion, and vesicular transport
O	100	Posttranslational modification, protein turnover, chaperones
X	4	Mobilome: prophages, transposons
C	119	Energy production and conversion
G	86	Carbohydrate transport and metabolism
E	127	Amino acid transport and metabolism
F	48	Nucleotide transport and metabolism
H	123	Coenzyme transport and metabolism
I	71	Lipid transport and metabolism
P	78	Inorganic ion transport and metabolism
Q	35	Secondary metabolites biosynthesis, transport and catabolism
R	120	General function prediction only
S	110	Function unknown
