,G,K5,G273_4,PAMC21119,PRwf_1
A,165,165,160,171,162
B,1,1,1,1,1
C,115,111,82,122,95
D,120,141,143,145,193
E,1,1,1,1,1
F,25,25,23,24,21
G,0,0,0,0,0
H,32,42,30,43,31
I,81,80,62,83,64
J,142,140,128,133,131
K,34,34,26,40,17
L,1,1,0,0,0
M,3,3,0,6,0
N,71,71,59,87,50
O,110,111,90,110,102
P,176,171,154,181,171
Q,57,56,45,60,50
R,217,215,157,243,194
S,64,63,50,55,50
T,128,123,109,122,124
U,118,113,94,117,107
V,119,99,75,119,131
